Problem No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1826,C,Dreaming of Freedom,"['greedy', 'math', 'number theory']",1300,9470
1826,B,Lunatic Never Content,"['math', 'number theory']",1100,11784
1826,A,Trust Nobody,"['brute force', 'greedy', 'implementation', 'sortings']",1200,11158
1825,B,LuoTianyi and the Table,"['greedy', 'math']",1000,11848
1825,A,LuoTianyi and the Palindrome String,"['greedy', 'strings']",800,16355
1824,E,LuoTianyi and Cartridge,"['data structures', 'trees']",3500,87
1824,D,LuoTianyi and the Function,['data structures'],3000,277
1824,C,LuoTianyi and XOR-Tree,"['data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'trees']",2500,856
1824,B2,LuoTianyi and the Floating Islands (Hard Version),"['combinatorics', 'dfs and similar', 'math', 'probabilities', 'trees']",2300,1968
1824,B1,LuoTianyi and the Floating Islands (Easy Version),"['combinatorics', 'math', 'probabilities', 'trees']",1800,3341
1824,A,LuoTianyi and the Show,"['greedy', 'implementation']",1400,8547
1823,F,Random Walk,"['dp', 'graphs', 'math', 'probabilities', 'trees']",2600,490
1823,E,Removing Graph,"['brute force', 'dp', 'games', 'graphs', 'math']",2500,955
1823,D,Unique Palindromes,"['constructive algorithms', 'math', 'strings']",1900,2883
1823,C,Strongly Composite,"['greedy', 'math', 'number theory']",1300,9103
1823,B,Sort with Step,"['brute force', 'math', 'sortings']",900,12399
1823,A,A-characteristic,"['combinatorics', 'constructive algorithms', 'math']",800,13722
1822,G2,Magic Triples (Hard Version),"['brute force', 'data structures', 'math', 'number theory']",2200,1654
1822,G1,Magic Triples (Easy Version),"['brute force', 'data structures', 'math', 'number theory']",1700,4633
1822,F,Gardening Friends,"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']",1700,3766
1822,E,Making Anti-Palindromes,"['greedy', 'math', 'strings']",1600,6902
1822,D,Super-Permutation,"['constructive algorithms', 'math']",1200,12272
1822,C,Bun Lover,['math'],800,18611
1822,B,Karina and Array,"['greedy', 'math', 'sortings']",800,19955
1822,A,TubeTube Feed,"['brute force', 'implementation']",800,20015
1821,F,Timber,"['combinatorics', 'dp', 'fft', 'math']",2600,526
1821,E,Rearrange Brackets,"['brute force', 'dp', 'greedy', 'sortings', 'strings']",2100,1654
1821,D,Black Cells,"['binary search', 'brute force', 'greedy', 'math']",1900,3735
1821,C,Tear It Apart,"['brute force', 'implementation', 'math', 'strings']",1300,10422
1821,B,Sort the Subarray,"['brute force', 'greedy']",1100,13469
1821,A,Matching,"['combinatorics', 'math']",800,16633
1820,B,JoJo's Incredible Adventures,"['math', 'strings', 'two pointers']",1100,10565
1820,A,Yura's New Name,"['implementation', 'strings']",800,14094
1819,F,"Willy-nilly, Crack, Into Release!","['data structures', 'dp']",3500,92
1819,E,Roads in E City,"['interactive', 'math', 'probabilities', 'trees']",3200,167
1819,D,Misha and Apples,"['brute force', 'data structures', 'dp', 'two pointers']",2800,462
1819,C,The Fox and the Complete Tree Traversal,"['constructive algorithms', 'dp', 'implementation', 'math', 'trees']",2400,1081
1819,B,The Butcher,"['geometry', 'greedy', 'implementation', 'sortings', 'two pointers']",1900,2702
1819,A,Constructive Problem,"['brute force', 'greedy']",1300,9517
1818,B,Indivisible,['constructive algorithms'],900,11062
1818,A,Politics,"['greedy', 'implementation']",800,11020
1817,F,Entangled Substrings,"['string suffix structures', 'strings']",3500,97
1817,E,Half-sum,"['brute force', 'divide and conquer', 'greedy']",3400,161
1817,D,Toy Machine,"['constructive algorithms', 'games', 'implementation']",2700,459
1817,C,Similar Polynomials,"['combinatorics', 'math']",2400,744
1817,B,Fish Graph,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs']",1900,2867
1817,A,Almost Increasing Subsequence,"['binary search', 'data structures', 'greedy']",1500,7787
1816,B,Grid Reconstruction,"['constructive algorithms', 'greedy']",1000,12589
1816,A,Ian Visits Mary,"['constructive algorithms', 'geometry', 'number theory']",800,15008
1815,F,OH NO1 (-2-3-4),"['constructive algorithms', 'graphs', 'math']",3500,144
1815,E,Bosco and Particle,"['dp', 'math', 'number theory', 'strings']",3100,232
1815,D,XOR Counting,"['bitmasks', 'combinatorics', 'dp', 'math']",2600,736
1815,C,Between,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",2200,1454
1815,B,Sum Graph,"['brute force', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'shortest paths', 'trees']",2000,2310
1815,A,Ian and Array Sorting,"['greedy', 'math']",1300,10949
1814,F,Communication Towers,"['brute force', 'divide and conquer', 'dsu']",2700,334
1814,E,Chain Chips,"['data structures', 'dp', 'matrices']",2300,939
1814,D,Balancing Weapons,"['binary search', 'brute force', 'data structures', 'math', 'two pointers']",2500,641
1814,C,Search in Parallel,"['constructive algorithms', 'greedy', 'sortings']",1500,7983
1814,B,Long Legs,"['brute force', 'math']",1700,7625
1814,A,Coins,"['implementation', 'math']",800,20666
1811,G2,Vlad and the Nice Paths (hard version),"['binary search', 'combinatorics', 'data structures', 'dp', 'math', 'two pointers']",2200,1151
1811,G1,Vlad and the Nice Paths (easy version),"['combinatorics', 'dp', 'math']",2100,1389
1811,F,Is It Flower?,"['dfs and similar', 'graphs', 'implementation']",2100,1270
1811,E,Living Sequence,"['binary search', 'dp', 'math', 'number theory']",1500,8642
1811,D,Umka and a Long Flight,"['constructive algorithms', 'implementation', 'math']",1600,5465
1811,C,Restore the Array,"['constructive algorithms', 'greedy']",1100,15759
1811,B,Conveyor Belts,"['implementation', 'math']",1000,16823
1811,A,Insert Digit,"['greedy', 'math', 'strings']",800,25043
1810,H,Last Number,"['combinatorics', 'math']",2900,86
1810,G,The Maximum Prefix,['dp'],3200,277
1810,F,M-tree,"['data structures', 'math', 'sortings', 'trees']",2800,427
1810,E,Monsters,"['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy']",2100,2335
1810,D,Climbing the Tree,"['binary search', 'math']",1700,5792
1810,C,Make It Permutation,"['brute force', 'greedy', 'sortings']",1300,11344
1810,B,Candies,"['constructive algorithms', 'math', 'number theory']",800,15523
1810,A,Beautiful Sequence,"['brute force', 'greedy']",800,18432
1809,G,Prediction,"['combinatorics', 'dp', 'math']",2800,273
1809,F,Traveling in Berland,"['binary search', 'data structures', 'graphs', 'greedy', 'implementation']",2500,558
1809,E,Two Tanks,"['binary search', 'dp', 'implementation', 'math']",2400,622
1809,D,Binary String Sorting,"['constructive algorithms', 'greedy']",1800,4638
1809,C,Sum on Subarrays,"['constructive algorithms', 'greedy', 'math']",1500,9431
1809,B,Points on Plane,"['binary search', 'greedy', 'math']",1000,16383
1809,A,Garland,['implementation'],800,21341
1808,E3,Minibuses on Venus (hard version),"['brute force', 'combinatorics', 'dp', 'math']",2800,287
1808,E2,Minibuses on Venus (medium version),"['combinatorics', 'divide and conquer', 'dp', 'matrices']",2500,460
1808,E1,Minibuses on Venus (easy version),"['combinatorics', 'divide and conquer', 'dp']",2200,924
1808,D,"Petya, Petya, Petr, and Palindromes","['binary search', 'brute force', 'data structures', 'two pointers']",2100,1724
1808,C,Unlucky Numbers,"['brute force', 'dp', 'greedy', 'implementation']",1900,2835
1808,B,Playing in a Casino,"['math', 'sortings']",1200,10732
1808,A,Lucky Numbers,"['brute force', 'implementation']",900,14167
1807,G2,Subsequence Addition (Hard Version),"['bitmasks', 'dp', 'greedy', 'implementation', 'sortings']",1100,14220
1807,G1,Subsequence Addition (Easy Version),"['brute force', 'data structures', 'dp', 'greedy', 'implementation', 'sortings']",1100,14727
1807,F,Bouncy Ball,"['brute force', 'dfs and similar', 'implementation']",1700,4498
1807,E,Interview,"['binary search', 'implementation', 'interactive']",1300,9149
1807,D,Odd Queries,"['data structures', 'implementation']",900,21266
1807,C,Find and Replace,"['greedy', 'implementation', 'strings']",800,24417
