Problem No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1837,F,Editorial for Two,"['binary search', 'data structures', 'greedy', 'implementation']",2400,1469
1837,E,Playoff Fixing,"['combinatorics', 'trees']",2200,1584
1837,D,Bracket Coloring,"['constructive algorithms', 'greedy']",1400,9754
1837,C,Best Binary String,"['constructive algorithms', 'greedy']",1000,16800
1837,B,Comparison String,['greedy'],900,19354
1837,A,Grasshopper on a Line,"['constructive algorithms', 'math']",800,22560
1836,B,Astrophysicists,"['greedy', 'math']",1100,8381
1836,A,Destroyer,"['implementation', 'sortings']",800,13772
1835,F,Good Graph,"['bitmasks', 'dfs and similar', 'graph matchings', 'graphs', 'implementation']",3500,47
1835,E,Old Mobile,"['combinatorics', 'dp', 'probabilities']",3500,78
1835,D,Doctor's Brown Hypothesis,"['dfs and similar', 'graphs', 'math', 'number theory']",2900,195
1835,C,Twin Clusters,"['bitmasks', 'brute force', 'constructive algorithms', 'math', 'probabilities']",2600,521
1835,B,Lottery,"['binary search', 'brute force', 'greedy', 'math', 'two pointers']",2500,455
1835,A,k-th equality,"['brute force', 'implementation', 'math']",1700,4352
1834,F,Typewriter,['math'],2500,241
1834,E,MEX of LCM,"['binary search', 'data structures', 'implementation', 'math', 'number theory']",2300,934
1834,D,Survey in Class,"['brute force', 'data structures', 'greedy', 'implementation', 'sortings']",1900,2208
1834,C,Game with Reversing,"['games', 'greedy', 'math', 'strings']",1200,7649
1834,B,Maximum Strength,"['greedy', 'math']",1000,9451
1834,A,Unit Array,"['greedy', 'math']",800,13191
1833,G,Ksyusha and Chinchilla,"['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'trees']",1800,3263
1833,F,Ira and Flamenco,"['combinatorics', 'constructive algorithms', 'data structures', 'implementation', 'math', 'sortings', 'two pointers']",1700,4653
1833,E,Round Dance,"['dfs and similar', 'dsu', 'graphs', 'shortest paths']",1600,6928
1833,D,Flipper,"['brute force', 'constructive algorithms', 'greedy']",1400,9841
1833,C,Vlad Building Beautiful Array,"['greedy', 'math']",800,21541
1833,B,Restore the Weather,"['greedy', 'sortings']",900,20211
1833,A,Musical Puzzle,"['implementation', 'strings']",800,26291
1832,F,Zombies,"['binary search', 'dp']",3200,182
1832,E,Combinatorics Problem,"['brute force', 'combinatorics', 'dp']",2200,1591
1832,D2,Red-Blue Operations (Hard Version),"['binary search', 'constructive algorithms', 'greedy', 'implementation', 'math']",2400,1388
1832,D1,Red-Blue Operations (Easy Version),"['binary search', 'greedy', 'implementation', 'math']",2100,2201
1832,C,Contrast Value,"['greedy', 'implementation']",1200,13079
1832,B,Maximum Sum,"['brute force', 'sortings', 'two pointers']",1100,14621
1832,A,New Palindrome,['strings'],800,20577
1831,B,Array merging,"['constructive algorithms', 'greedy']",1000,13809
1831,A,Twin Permutations,['constructive algorithms'],800,18798
1830,F,The Third Grace,"['data structures', 'dp']",3200,73
1830,E,Bully Sort,"['data structures', 'math']",3500,108
1830,D,Mex Tree,"['brute force', 'dp', 'trees']",2800,356
1830,C,Hyperregular Bracket Strings,"['combinatorics', 'greedy', 'hashing', 'math', 'number theory', 'sortings']",2400,1056
1830,B,The BOSS Can Count Pairs,"['brute force', 'math']",2000,3324
1830,A,Copil Copac Draws Trees,"['dfs and similar', 'dp', 'graphs', 'trees']",1400,8953
1829,H,Don't Blame Me,"['bitmasks', 'combinatorics', 'dp', 'math']",1700,4452
1829,G,Hits Different,"['data structures', 'dp', 'implementation', 'math']",1600,6118
1829,F,Forever Winter,"['dfs and similar', 'graphs', 'math']",1300,11064
1829,E,The Lakes,"['dfs and similar', 'dsu', 'graphs', 'implementation']",1100,12947
1829,D,Gold Rush,"['brute force', 'dfs and similar', 'dp', 'implementation']",1000,17087
1829,C,Mr. Perfectly Fine,"['bitmasks', 'greedy', 'implementation']",800,20662
1829,B,Blank Space,['implementation'],800,27569
1829,A,Love Story,"['implementation', 'strings']",800,30241
1828,B,Permutation Swap,"['math', 'number theory']",900,15692
1828,A,Divisible Array,"['constructive algorithms', 'math']",800,19309
1827,F,Copium Permutation,"['constructive algorithms', 'data structures', 'greedy']",3500,72
1827,E,Bus Routes,"['binary search', 'constructive algorithms', 'dfs and similar', 'greedy', 'trees']",3400,198
1827,D,Two Centroids,"['data structures', 'dfs and similar', 'greedy', 'trees']",2800,446
1827,C,Palindrome Partition,"['binary search', 'brute force', 'data structures', 'dp', 'hashing', 'strings']",2600,734
1827,B2,Range Sorting (Hard Version),"['binary search', 'data structures', 'dp', 'greedy']",2400,1267
1827,B1,Range Sorting (Easy Version),"['binary search', 'dp', 'dsu', 'greedy', 'trees', 'two pointers']",2000,2775
1827,A,Counting Orders,"['combinatorics', 'math', 'sortings', 'two pointers']",1100,13713
1826,F,Fading into Fog,"['geometry', 'interactive', 'math', 'probabilities']",2800,247
1826,E,Walk the Runway,"['bitmasks', 'brute force', 'data structures', 'dp', 'graphs', 'implementation', 'sortings']",2400,1126
1826,D,Running Miles,"['brute force', 'dp', 'greedy']",1700,5371
1826,C,Dreaming of Freedom,"['greedy', 'math', 'number theory']",1300,9419
1826,B,Lunatic Never Content,"['math', 'number theory']",1100,11744
1826,A,Trust Nobody,"['brute force', 'greedy', 'implementation', 'sortings']",1200,11116
1825,B,LuoTianyi and the Table,"['greedy', 'math']",1000,11816
1825,A,LuoTianyi and the Palindrome String,"['greedy', 'strings']",800,16300
1824,E,LuoTianyi and Cartridge,"['data structures', 'trees']",3500,87
1824,D,LuoTianyi and the Function,['data structures'],3000,275
1824,C,LuoTianyi and XOR-Tree,"['data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'trees']",2500,852
1824,B2,LuoTianyi and the Floating Islands (Hard Version),"['combinatorics', 'dfs and similar', 'math', 'probabilities', 'trees']",2300,1961
1824,B1,LuoTianyi and the Floating Islands (Easy Version),"['combinatorics', 'math', 'probabilities', 'trees']",1800,3328
1824,A,LuoTianyi and the Show,"['greedy', 'implementation']",1400,8525
1823,F,Random Walk,"['dp', 'graphs', 'math', 'probabilities', 'trees']",2600,490
1823,E,Removing Graph,"['brute force', 'dp', 'games', 'graphs', 'math']",2500,953
1823,D,Unique Palindromes,"['constructive algorithms', 'math', 'strings']",1900,2878
1823,C,Strongly Composite,"['greedy', 'math', 'number theory']",1300,9068
1823,B,Sort with Step,"['brute force', 'math', 'sortings']",900,12363
1823,A,A-characteristic,"['combinatorics', 'constructive algorithms', 'math']",800,13697
1822,G2,Magic Triples (Hard Version),"['brute force', 'data structures', 'math', 'number theory']",2200,1649
1822,G1,Magic Triples (Easy Version),"['brute force', 'data structures', 'math', 'number theory']",1700,4620
1822,F,Gardening Friends,"['brute force', 'dfs and similar', 'dp', 'graphs', 'trees']",1700,3746
1822,E,Making Anti-Palindromes,"['greedy', 'math', 'strings']",1600,6882
1822,D,Super-Permutation,"['constructive algorithms', 'math']",1200,12244
1822,C,Bun Lover,['math'],800,18571
1822,B,Karina and Array,"['greedy', 'math', 'sortings']",800,19916
1822,A,TubeTube Feed,"['brute force', 'implementation']",800,19986
1821,F,Timber,"['combinatorics', 'dp', 'fft', 'math']",2600,523
1821,E,Rearrange Brackets,"['brute force', 'dp', 'greedy', 'sortings', 'strings']",2100,1653
1821,D,Black Cells,"['binary search', 'brute force', 'greedy', 'math']",1900,3722
1821,C,Tear It Apart,"['brute force', 'implementation', 'math', 'strings']",1300,10388
1821,B,Sort the Subarray,"['brute force', 'greedy']",1100,13428
1821,A,Matching,"['combinatorics', 'math']",800,16610
1820,B,JoJo's Incredible Adventures,"['math', 'strings', 'two pointers']",1100,10543
1820,A,Yura's New Name,"['implementation', 'strings']",800,14065
1819,F,"Willy-nilly, Crack, Into Release!","['data structures', 'dp']",3500,92
1819,E,Roads in E City,"['interactive', 'math', 'probabilities', 'trees']",3200,167
1819,D,Misha and Apples,"['brute force', 'data structures', 'dp', 'two pointers']",2800,461
1819,C,The Fox and the Complete Tree Traversal,"['constructive algorithms', 'dp', 'implementation', 'math', 'trees']",2400,1079
1819,B,The Butcher,"['geometry', 'greedy', 'implementation', 'sortings', 'two pointers']",1900,2692
1819,A,Constructive Problem,"['brute force', 'greedy']",1300,9500
1818,B,Indivisible,['constructive algorithms'],900,11027
1818,A,Politics,"['greedy', 'implementation']",800,10987
1817,F,Entangled Substrings,"['string suffix structures', 'strings']",3500,97
1817,E,Half-sum,"['brute force', 'divide and conquer', 'greedy']",3400,161
1817,D,Toy Machine,"['constructive algorithms', 'games', 'implementation']",2700,458
1817,C,Similar Polynomials,"['combinatorics', 'math']",2400,742
1817,B,Fish Graph,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs']",1900,2856
1817,A,Almost Increasing Subsequence,"['binary search', 'data structures', 'greedy']",1500,7764
1816,B,Grid Reconstruction,"['constructive algorithms', 'greedy']",1000,12575
1816,A,Ian Visits Mary,"['constructive algorithms', 'geometry', 'number theory']",800,14982
1815,F,OH NO1 (-2-3-4),"['constructive algorithms', 'graphs', 'math']",3500,144
1815,E,Bosco and Particle,"['dp', 'math', 'number theory', 'strings']",3100,232
1815,D,XOR Counting,"['bitmasks', 'combinatorics', 'dp', 'math']",2600,733
1815,C,Between,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",2200,1450
1815,B,Sum Graph,"['brute force', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'shortest paths', 'trees']",2000,2301
1815,A,Ian and Array Sorting,"['greedy', 'math']",1300,10931
1814,F,Communication Towers,"['brute force', 'divide and conquer', 'dsu']",2700,334
1814,E,Chain Chips,"['data structures', 'dp', 'matrices']",2300,937
1814,D,Balancing Weapons,"['binary search', 'brute force', 'data structures', 'math', 'two pointers']",2500,638
1814,C,Search in Parallel,"['constructive algorithms', 'greedy', 'sortings']",1500,7966
1814,B,Long Legs,"['brute force', 'math']",1700,7607
1814,A,Coins,"['implementation', 'math']",800,20623
1811,G2,Vlad and the Nice Paths (hard version),"['binary search', 'combinatorics', 'data structures', 'dp', 'math', 'two pointers']",2200,1149
1811,G1,Vlad and the Nice Paths (easy version),"['combinatorics', 'dp', 'math']",2100,1387
1811,F,Is It Flower?,"['dfs and similar', 'graphs', 'implementation']",2100,1267
1811,E,Living Sequence,"['binary search', 'dp', 'math', 'number theory']",1500,8613
1811,D,Umka and a Long Flight,"['constructive algorithms', 'implementation', 'math']",1600,5454
1811,C,Restore the Array,"['constructive algorithms', 'greedy']",1100,15731
1811,B,Conveyor Belts,"['implementation', 'math']",1000,16807
1811,A,Insert Digit,"['greedy', 'math', 'strings']",800,25004
1810,H,Last Number,"['combinatorics', 'math']",2900,86
1810,G,The Maximum Prefix,['dp'],3200,275
1810,F,M-tree,"['data structures', 'math', 'sortings', 'trees']",2800,420
1810,E,Monsters,"['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'greedy']",2100,2313
1810,D,Climbing the Tree,"['binary search', 'math']",1700,5739
1810,C,Make It Permutation,"['brute force', 'greedy', 'sortings']",1300,11263
1810,B,Candies,"['constructive algorithms', 'math', 'number theory']",800,15442
1810,A,Beautiful Sequence,"['brute force', 'greedy']",800,18335
1809,G,Prediction,"['combinatorics', 'dp', 'math']",2800,273
1809,F,Traveling in Berland,"['binary search', 'data structures', 'graphs', 'greedy', 'implementation']",2500,557
1809,E,Two Tanks,"['binary search', 'dp', 'implementation', 'math']",2400,622
1809,D,Binary String Sorting,"['constructive algorithms', 'greedy']",1800,4630
1809,C,Sum on Subarrays,"['constructive algorithms', 'greedy', 'math']",1500,9421
1809,B,Points on Plane,"['binary search', 'greedy', 'math']",1000,16366
1809,A,Garland,['implementation'],800,21322
1808,E3,Minibuses on Venus (hard version),"['brute force', 'combinatorics', 'dp', 'math']",2800,285
1808,E2,Minibuses on Venus (medium version),"['combinatorics', 'divide and conquer', 'dp', 'matrices']",2500,459
1808,E1,Minibuses on Venus (easy version),"['combinatorics', 'divide and conquer', 'dp']",2200,923
1808,D,"Petya, Petya, Petr, and Palindromes","['binary search', 'brute force', 'data structures', 'two pointers']",2100,1718
1808,C,Unlucky Numbers,"['brute force', 'dp', 'greedy', 'implementation']",1900,2826
1808,B,Playing in a Casino,"['math', 'sortings']",1200,10708
1808,A,Lucky Numbers,"['brute force', 'implementation']",900,14138
1807,G2,Subsequence Addition (Hard Version),"['bitmasks', 'dp', 'greedy', 'implementation', 'sortings']",1100,14196
1807,G1,Subsequence Addition (Easy Version),"['brute force', 'data structures', 'dp', 'greedy', 'implementation', 'sortings']",1100,14704
1807,F,Bouncy Ball,"['brute force', 'dfs and similar', 'implementation']",1700,4486
1807,E,Interview,"['binary search', 'implementation', 'interactive']",1300,9133
1807,D,Odd Queries,"['data structures', 'implementation']",900,21224
1807,C,Find and Replace,"['greedy', 'implementation', 'strings']",800,24380
1807,B,Grab the Candies,['greedy'],800,31839
1807,A,Plus or Minus,['implementation'],800,38121
1806,F2,GCD Master (hard version),"['greedy', 'math', 'sortings']",2900,182
1806,F1,GCD Master (easy version),"['greedy', 'math', 'number theory', 'sortings']",2900,227
1806,E,Tree Master,"['brute force', 'data structures', 'dfs and similar', 'trees']",2200,2057
1806,D,DSU Master,"['combinatorics', 'dp', 'dsu', 'math']",2500,647
1806,C,Sequence Master,"['brute force', 'constructive algorithms', 'math']",1600,5898
1806,B,Mex Master,"['constructive algorithms', 'greedy']",900,14718
1806,A,Walking Master,"['geometry', 'greedy', 'math']",800,18706
1805,F2,Survival of the Weakest (hard version),"['greedy', 'math', 'sortings', 'two pointers']",3100,235
1805,F1,Survival of the Weakest (easy version),"['binary search', 'brute force', 'implementation', 'math', 'sortings']",2600,561
1805,E,There Should Be a Lot of Maximums,"['brute force', 'data structures', 'dfs and similar', 'dp', 'trees', 'two pointers']",2300,1181
1805,D,"A Wide, Wide Graph","['dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",1800,4581
1805,C,Place for a Selfie,"['binary search', 'data structures', 'geometry', 'math']",1400,9759
1805,B,The String Has a Target,"['greedy', 'strings']",800,16327
1805,A,We Need the Zero,"['bitmasks', 'brute force']",800,16768
1804,H,Code Lock,"['bitmasks', 'dp']",3300,125
1804,G,Flow Control,"['data structures', 'dsu', 'implementation']",3500,148
1804,F,Approximate Diameter,"['binary search', 'divide and conquer', 'graphs', 'shortest paths']",2700,640
1804,E,Routing,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'graphs']",2400,1149
1804,D,Accommodation,"['brute force', 'dp', 'greedy', 'implementation']",2000,3769
1804,C,Pull Your Luck,"['brute force', 'greedy', 'math', 'number theory']",1500,9519
1804,B,Vaccination,"['greedy', 'implementation']",1000,12066
1804,A,Lame King,"['greedy', 'math']",800,16400
1802,B,Settlement of Guinea Pigs,"['greedy', 'implementation', 'math']",1000,11127
1802,A,Likes,"['greedy', 'implementation']",800,14019
1801,G,A task for substrings,"['data structures', 'string suffix structures', 'strings']",3400,144
1801,F,Another n-dimensional chocolate bar,"['dp', 'math', 'meet-in-the-middle', 'number theory']",2700,410
1801,E,Gasoline prices,"['data structures', 'divide and conquer', 'dsu', 'hashing', 'trees']",3000,275
1801,D,The way home,"['binary search', 'data structures', 'dp', 'graphs', 'greedy', 'shortest paths', 'sortings']",2100,1455
1801,C,Music Festival,"['binary search', 'data structures', 'dp', 'greedy', 'sortings']",1900,2423
1801,B,Buying gifts,"['data structures', 'greedy', 'sortings']",1800,4569
1801,A,The Very Beautiful Blanket,"['bitmasks', 'constructive algorithms']",1600,6718
1800,G,Symmetree,"['dfs and similar', 'hashing', 'implementation', 'trees']",2200,1484
1800,F,Dasha and Nightmares,"['bitmasks', 'hashing', 'meet-in-the-middle', 'strings']",1900,2809
1800,E2,Unforgivable Curse (hard version),"['brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'strings']",1500,9300
1800,E1,Unforgivable Curse (easy version),"['brute force', 'constructive algorithms', 'dsu', 'graphs', 'greedy', 'strings']",1400,9534
1800,D,Remove Two Letters,"['data structures', 'greedy', 'hashing', 'strings']",1200,16461
1800,C2,Powering the Hero (hard version),"['data structures', 'greedy']",1100,17280
1800,C1,Powering the Hero (easy version),"['data structures', 'greedy']",1000,18298
1800,B,Count the Number of Pairs,"['greedy', 'strings']",1000,19875
1800,A,Is It a Cat?,"['implementation', 'strings']",800,24706
1799,H,Tree Cutting,"['bitmasks', 'dfs and similar', 'dp']",3200,175
1799,G,Count Voting,"['combinatorics', 'dp', 'math']",2600,513
1799,F,Halve or Subtract,"['binary search', 'brute force', 'dp', 'greedy', 'sortings']",2700,599
1799,E,City Union,"['constructive algorithms', 'dfs and similar', 'dsu', 'geometry', 'greedy', 'implementation', 'math']",2300,962
1799,D2,Hot Start Up (hard version),"['data structures', 'dp']",2100,1812
1799,D1,Hot Start Up (easy version),['dp'],1900,3128
1799,C,Double Lexicographically Minimum,"['greedy', 'strings']",1700,4394
1799,B,Equalize by Divide,"['brute force', 'constructive algorithms', 'greedy', 'math']",1200,8941
1799,A,Recent Actions,"['data structures', 'greedy', 'implementation', 'math']",800,10406
1798,F,Gifts from Grandfather Ahmed,"['dp', 'math', 'number theory']",2500,349
1798,E,Multitest Generator,"['brute force', 'dp']",2300,1225
1798,D,Shocking Arrangement,"['constructive algorithms', 'greedy', 'math']",1600,7033
1798,C,Candy Store,"['greedy', 'math', 'number theory']",1700,6511
1798,B,Three Sevens,"['brute force', 'data structures', 'greedy', 'implementation']",1000,13644
1798,A,Showstopper,"['greedy', 'implementation', 'sortings']",800,17606
1797,F,Li Hua and Path,"['data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'trees']",3000,195
1797,E,Li Hua and Array,"['brute force', 'data structures', 'dsu', 'math', 'number theory', 'two pointers']",2300,888
1797,D,Li Hua and Tree,"['brute force', 'data structures', 'dfs and similar', 'dp', 'implementation', 'trees']",1900,2794
1797,C,Li Hua and Chess,"['constructive algorithms', 'greedy', 'interactive']",1600,5824
1797,B,Li Hua and Pattern,"['constructive algorithms', 'greedy']",1100,11971
1797,A,Li Hua and Maze,"['constructive algorithms', 'flows', 'graphs', 'greedy', 'implementation']",800,14734
1796,F,Strange Triples,"['brute force', 'math', 'number theory']",2900,120
1796,E,Colored Subgraphs,"['dfs and similar', 'dp', 'games', 'greedy', 'trees']",2500,516
1796,D,Maximum Subarray,"['data structures', 'dp', 'greedy', 'two pointers']",2000,2940
1796,C,Maximum Set,"['binary search', 'math']",1600,7680
1796,B,Asterisk-Minor Template,"['implementation', 'strings']",1000,14059
1796,A,Typical Interview Problem,"['brute force', 'implementation', 'strings']",800,16998
1795,G,Removal Sequences,"['bitmasks', 'dfs and similar', 'graphs']",2700,526
1795,F,Blocking Chips,"['binary search', 'constructive algorithms', 'dfs and similar', 'greedy', 'trees']",2400,860
1795,E,Explosions?,"['binary search', 'data structures', 'dp', 'greedy', 'math']",2200,1603
1795,D,Triangle Coloring,"['combinatorics', 'math']",1600,6863
1795,C,Tea Tasting,"['binary search', 'data structures', 'implementation']",1500,9230
1795,B,Ideal Point,"['brute force', 'geometry', 'greedy']",900,18516
1795,A,Two Towers,"['brute force', 'implementation', 'strings']",800,21373
1794,E,Labeling the Tree with Distances,"['data structures', 'dp', 'greedy', 'hashing', 'implementation', 'trees']",2400,760
1794,D,Counting Factorizations,"['combinatorics', 'divide and conquer', 'dp', 'math', 'number theory']",1900,2739
1794,C,Scoring Subsequences,"['binary search', 'greedy', 'math', 'two pointers']",1300,9900
1794,B,Not Dividing,"['constructive algorithms', 'greedy', 'math']",900,15225
1794,A,Prefix and Suffix Array,['strings'],800,14811
1793,F,Rebrending,"['brute force', 'data structures', 'divide and conquer', 'implementation']",2600,1007
1793,E,Velepin and Marketing,"['binary search', 'data structures', 'dp', 'greedy', 'sortings', 'two pointers']",2600,730
1793,D,Moscow Gorillas,"['binary search', 'dp', 'greedy', 'implementation', 'math', 'two pointers']",1800,4744
1793,C,Dora and Search,"['constructive algorithms', 'data structures', 'two pointers']",1200,13771
1793,B,Fedya and Array,"['constructive algorithms', 'math']",1100,13461
1793,A,Yet Another Promotion,"['greedy', 'math']",800,16335
1792,F2,Graph Coloring (hard version),"['brute force', 'combinatorics', 'divide and conquer', 'dp', 'fft', 'graphs']",2900,300
1792,F1,Graph Coloring (easy version),"['combinatorics', 'dp', 'graphs']",2700,517
1792,E,Divisors and Table,"['brute force', 'dfs and similar', 'dp', 'number theory']",2400,1064
1792,D,Fixed Prefix Permutations,"['binary search', 'bitmasks', 'data structures', 'hashing', 'math', 'sortings']",1700,4950
1792,C,Min Max Sort,"['binary search', 'brute force', 'greedy', 'math', 'two pointers']",1500,10401
1792,B,Stand-up Comedian,"['greedy', 'math']",1200,16731
1792,A,GamingForces,"['greedy', 'sortings']",800,24440
1791,G2,Teleporters (Hard Version),"['binary search', 'greedy', 'sortings']",1900,3472
1791,G1,Teleporters (Easy Version),"['greedy', 'sortings']",1100,16638
1791,F,Range Update Point Query,"['binary search', 'brute force', 'data structures']",1500,8869
1791,E,Negatives and Positives,"['dp', 'greedy', 'sortings']",1100,20231
1791,D,Distinct Split,"['brute force', 'greedy', 'strings']",1000,21171
1791,C,Prepend and Append,"['implementation', 'two pointers']",800,32152
1791,B,Following Directions,"['geometry', 'implementation']",800,34488
1791,A,Codeforces Checking,"['implementation', 'strings']",800,40736
1790,G,Tokens on Graph,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']",2300,857
1790,F,Timofey and Black-White Tree,"['brute force', 'dfs and similar', 'divide and conquer', 'graphs', 'greedy', 'math', 'shortest paths', 'trees']",2100,2538
1790,E,Vlad and a Pair of Numbers,"['bitmasks', 'constructive algorithms']",1400,11337
1790,D,Matryoshkas,"['data structures', 'greedy', 'sortings']",1200,14364
1790,C,Premutation,"['brute force', 'implementation', 'math']",1000,19632
1790,B,Taisia and Dice,"['greedy', 'greedy', 'math']",800,23978
1790,A,Polycarp and the Day of Pi,"['implementation', 'math', 'strings']",800,30826
1789,F,Serval and Brain Power,"['bitmasks', 'brute force', 'dp', 'greedy', 'implementation', 'strings']",2700,362
1789,E,Serval and Music Game,"['brute force', 'dp', 'implementation', 'math', 'number theory']",2500,636
1789,D,Serval and Shift-Shift-Shift,"['bitmasks', 'brute force', 'constructive algorithms', 'implementation']",2200,1326
1789,C,Serval and Toxel's Arrays,"['combinatorics', 'dp', 'implementation', 'math']",1500,6606
1789,B,Serval and Inversion Magic,"['brute force', 'implementation', 'strings', 'two pointers']",800,14151
1789,A,Serval and Mocha's Array,"['brute force', 'math', 'number theory']",800,14484
1788,F,"XOR, Tree, and Queries","['bitmasks', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation', 'trees']",2500,622
1788,E,Sum Over Zero,"['data structures', 'dfs and similar', 'dp']",2200,1989
1788,D,Moving Dots,"['binary search', 'brute force', 'combinatorics', 'math', 'two pointers']",2000,3134
1788,C,Matching Numbers,"['constructive algorithms', 'greedy', 'math']",1300,13550
1788,B,Sum of Two Numbers,"['constructive algorithms', 'greedy', 'implementation', 'math', 'probabilities']",1100,16324
1788,A,One and Two,"['brute force', 'implementation', 'math']",800,22950
1787,I,Treasure Hunt,"['data structures', 'divide and conquer', 'two pointers']",3400,121
1787,H,Codeforces Scoreboard,"['binary search', 'data structures', 'dp', 'geometry']",3300,150
1787,G,Colorful Tree Again,"['brute force', 'data structures', 'trees']",3000,290
1787,F,Inverse Transformation,"['constructive algorithms', 'implementation', 'math']",2500,556
1787,E,The Harmonization of XOR,"['bitmasks', 'constructive algorithms', 'greedy', 'math']",2100,1856
1787,D,Game on Axis,"['combinatorics', 'dfs and similar', 'dsu', 'graphs', 'implementation']",1900,2833
1787,C,Remove the Bracket,"['dp', 'greedy', 'math']",1600,5567
1787,B,Number Factorization,"['greedy', 'math', 'number theory']",1100,11331
1787,A,Exponential Equation,"['constructive algorithms', 'math']",800,17433
1786,B,Cake Assembly Line,"['brute force', 'sortings']",1300,7397
1786,A2,Alternating Deck (hard version),['implementation'],800,10516
1786,A1,Non-alternating Deck (easy version),['implementation'],800,12708
1784,F,Minimums or Medians,[],3400,133
1784,E,Infinite Game,"['brute force', 'combinatorics', 'dp', 'games', 'probabilities']",3100,209
1784,D,Wooden Spoon,"['combinatorics', 'dp']",2400,758
1784,C,Monsters (hard version),"['data structures', 'greedy']",2200,1274
1784,B,Letter Exchange,['constructive algorithms'],1900,2839
1784,A,Monsters (easy version),"['brute force', 'greedy']",1000,12485
1783,G,Weighed Tree Radius,"['data structures', 'divide and conquer', 'implementation', 'trees']",2800,331
1783,F,Double Sort II,"['dfs and similar', 'flows', 'graph matchings', 'graphs']",2500,716
1783,E,Game of the Year,"['brute force', 'data structures', 'math', 'number theory']",2300,1751
1783,D,Different Arrays,"['brute force', 'dp', 'implementation']",2000,3501
1783,C,Yet Another Tournament,"['binary search', 'greedy', 'sortings']",1700,7528
1783,B,Matrix of Differences,"['constructive algorithms', 'math']",1100,15685
1783,A,Make it Beautiful,"['constructive algorithms', 'math', 'sortings']",800,23602
1781,H2,Window Signals (hard version),[],3500,75
